feature,importance
Distance_From_Home,11.967830005429287
Environment_Satisfaction,9.111411844758846
Job_Involvement,8.35231908969214
Years_since_last_promotion,8.011879227248764
Work_life_balance,7.313214920897703
Age,6.644338757379227
Salary,5.923675449728598
Salary_Hike_in_percent,5.599798755752894
Total_working_years_experience,4.582595137545833
Business_Travel,4.2997880322090625
Job_Satisfaction,4.1772143817471585
No_of_years_in_current_role,4.1451572136664785
Number_of_Companies_Worked_previously,3.3502311581864306
Job_Level,3.0612705898633563
No_of_years_worked_at_current_company,2.747052804188084
Education,2.5050365285937826
Job_Role,2.4947515169419727
Overtime,1.762430380607259
Department,1.453496919807242
Marital_Status,1.2626806462265039
Gender,1.233826639529341
