feature,importance
Environment_Satisfaction,0.046581916401373366
Business_Travel,0.04089753144389925
Job_Involvement,0.037187302106981776
Work_life_balance,0.02812841488859117
Years_since_last_promotion,0.027113766676861984
Distance_From_Home,0.026783209051133027
Job_Satisfaction,0.011520407122928077
Overtime,0.0017423919333600102
Total_working_years_experience,0.0006358423834611715
Education,0.00013641604884555568
No_of_years_worked_at_current_company,0.00012435399821077996
Job_Level,9.362448826031323e-05
Gender,3.0155126586883796e-05
Number_of_Companies_Worked_previously,-6.031025317376759e-06
Salary_Hike_in_percent,-0.00014014954070871167
Age,-0.0002159681446986861
Salary,-0.0002805862730992148
Department,-0.0003354398843191886
No_of_years_in_current_role,-0.00037794425322266176
Marital_Status,-0.0005717986384242479
Job_Role,-0.0006809314775007014
