Features,Importances
Environment_Satisfaction,0.037900000000000045
Distance_From_Home,0.036700000000000045
Business_Travel,0.032500000000000064
Job_Involvement,0.032400000000000075
Work_life_balance,0.01850000000000005
Job_Satisfaction,0.015700000000000047
Years_since_last_promotion,0.014100000000000047
Overtime,0.01150000000000002
Department,0.002300000000000013
Job_Role,0.0015000000000000347
Age,0.0014000000000000457
No_of_years_worked_at_current_company,0.0013000000000000344
No_of_years_in_current_role,0.001000000000000023
Education,0.0009000000000000564
Salary_Hike_in_percent,0.0008000000000000229
Number_of_Companies_Worked_previously,0.0005000000000000337
Job_Level,-0.00019999999999997797
Gender,-0.0006999999999999674
Total_working_years_experience,-0.0008999999999999897
Salary,-0.0009999999999999564
Marital_Status,-0.0023999999999999577
